PM2.5,PM10,SO2,CO,O3,NO2
45,30,2,69,19,0
44,16,2,58,33,0
43,12,2,46,18,0
40,8,2,84,29,0
38,8,3,50,0,0
35,12,2,97,18,0
34,10,3,70,0,0
33,11,4,87,0,0
31,10,4,118,5,0
31,10,3,73,30,0
31,7,2,43,16,0
31,6,2,48,9,0
31,11,2,29,8,0
32,16,2,44,0,0
32,17,2,55,25,0
33,13,2,45,0,0
33,13,2,61,0,0
34,19,3,57,0,0
34,16,2,43,0,0
34,14,2,34,0,0
33,21,2,48,11,0
33,33,2,52,8,0
33,22,2,90,14,0
32,35,2,139,27,0
31,32,2,60,25,0
31,19,2,32,27,0
30,29,2,47,20,0
29,28,2,107,27,0
28,25,2,68,30,0
27,23,2,60,47,0
26,17,1,33,24,0
25,29,2,37,15,0
24,32,2,58,26,0
22,27,2,59,17,0
23,17,2,54,15,0
23,12,2,74,9,0
22,22,3,60,20,0
21,19,2,51,10,0
21,27,1,44,52,0
20,26,3,164,36,0
19,11,2,46,14,0
19,10,3,58,18,0
20,19,3,48,17,0
21,33,3,58,17,0
22,36,2,78,26,0
24,22,2,81,30,0
26,20,2,95,23,0
29,11,3,39,11,0
31,13,2,58,0,0
33,17,2,40,14,0
34,7,2,39,14,0
36,20,3,72,12,0
39,18,2,73,47,0
42,26,2,84,21,0
44,45,2,37,10,0
46,29,2,60,31,0
48,15,2,16,0,0
50,22,2,19,0,0
50,20,2,18,0,0
51,25,2,12,0,0
52,19,2,37,0,0
53,23,2,9,0,0
53,28,3,63,0,0
53,24,2,69,22,0
53,3,2,19,0,0
53,19,4,21,20,0
53,10,2,44,10,0
53,7,1,67,0,0
53,10,2,56,11,0
53,7,2,42,29,0
53,26,2,21,36,0
53,33,4,101,30,0
53,51,2,51,32,0
54,38,2,33,11,0
55,36,2,33,18,0
55,22,2,28,0,0
55,29,2,33,0,0
55,17,2,25,6,0
55,22,2,34,18,0
56,23,1,37,19,0
56,17,1,22,15,0
56,30,1,45,17,0
55,15,1,25,21,0
55,32,2,72,21,0
54,21,2,29,18,0
53,31,3,155,23,0
53,36,1,25,39,0
53,19,2,43,14,0
53,26,1,37,17,0
53,24,1,31,0,0
53,18,1,18,12,0
53,13,1,23,16,0
52,42,1,48,20,0
51,52,2,57,15,0
51,33,1,50,11,0
48,16,1,43,12,0
44,6,1,17,0,0
40,17,1,52,8,0
36,24,1,37,0,0
33,19,1,32,0,0
31,17,1,40,0,0
28,19,1,47,0,0
25,20,1,38,0,0
22,22,1,34,8,0
21,26,1,30,6,0
21,42,1,36,12,0
22,60,2,50,16,0
24,59,2,49,11,0
26,19,1,46,17,0
27,32,2,56,9,0
28,52,2,67,16,0
28,52,2,53,13,0
28,34,1,37,11,0
29,32,1,27,10,0
31,18,1,19,8,0
32,27,2,31,2,0
33,21,1,64,6,0
34,25,1,22,28,0
37,24,1,58,19,0
41,41,2,50,14,0
45,32,1,37,14,0
46,32,1,30,9,0
47,11,1,20,9,0
48,30,2,31,10,0
49,40,1,35,11,0
49,40,1,43,9,0
50,34,2,62,15,0
50,22,1,13,0,0
50,33,1,28,10,0
50,20,1,48,10,0
51,7,1,15,0,0
52,18,1,18,0,0
52,15,1,53,9,0
52,22,1,30,1,0
52,17,1,20,15,0
53,21,1,19,4,0
54,15,1,15,4,0
54,17,1,14,3,0
55,21,1,27,0,0
56,16,2,42,11,0
57,10,2,14,0,0
57,22,1,36,0,0
56,14,1,33,14,0
55,30,1,42,14,0
54,28,1,22,0,0
53,20,1,23,0,0
53,10,1,14,0,0
52,7,1,14,0,0
52,13,1,18,0,0
52,10,1,24,10,0
52,17,1,28,8,0
52,10,1,20,0,0
52,14,1,30,0,0
52,29,1,52,10,0
51,40,1,46,12,0
51,34,1,36,9,0
49,16,1,23,0,0
47,17,1,30,6,0
45,12,1,14,0,0
43,11,1,21,0,0
41,17,1,23,7,0
40,17,1,36,6,0
38,21,2,23,8,0
36,18,2,22,0,0
33,20,1,25,8,0
33,18,1,40,7,0
34,22,1,35,12,0
36,25,1,50,12,0
39,23,1,25,15,0
42,24,1,20,0,0
43,18,1,24,5,0
45,18,1,20,10,0
47,19,1,22,3,0
48,19,1,23,0,0
50,17,1,26,0,0
51,9,1,17,8,0
51,23,1,40,13,0
51,18,1,24,7,0
51,23,1,28,7,0
51,25,1,28,9,0
51,26,1,24,11,0
52,18,1,30,9,0
52,14,1,21,6,0
53,21,1,33,6,0
53,21,1,27,10,0
53,19,1,23,11,0
53,35,1,56,15,0
54,25,1,26,10,0
56,20,0,28,10,0
56,20,1,36,10,0
56,31,1,17,6,0
56,14,1,16,11,0
56,19,1,25,3,0
56,19,1,21,10,0
56,24,1,28,15,0
56,21,1,25,11,0
56,26,1,33,11,0
56,23,1,24,12,0
56,35,1,33,20,0
55,17,0,12,11,0
55,21,1,30,7,0
56,10,0,15,4,0
58,16,1,21,11,0
59,21,1,30,36,0
60,22,0,32,23,0
61,18,0,57,22,0
62,14,2,46,0,0
63,25,1,21,8,0
64,28,1,21,12,0
65,19,1,10,7,0
65,13,1,5,11,0
65,18,1,19,7,0
66,18,1,7,7,0
65,20,1,0,0,0
65,22,1,2,0,0
64,17,1,11,5,0
64,24,1,9,0,0
64,26,1,11,3,0
63,26,1,23,25,0
63,17,1,37,57,0
64,20,1,12,49,0
64,39,0,20,37,0
65,45,0,30,0,0
65,39,1,38,6,0
66,17,1,23,11,0
66,17,1,51,9,0
65,20,1,11,0,0
64,19,4,18,15,0
64,19,0,11,6,0
64,14,0,10,10,0
64,16,0,13,11,0
64,15,0,14,14,0
63,19,0,17,16,0
62,22,0,18,19,0
62,35,0,20,22,0
61,37,0,16,22,0
61,17,0,9,20,0
62,23,0,17,22,0
63,13,0,8,22,0
63,21,1,22,27,0
62,21,0,11,23,0
62,16,0,3,21,0
61,20,0,14,27,0
61,20,0,13,30,0
60,21,0,15,24,0
59,14,0,11,20,0
58,12,0,10,17,0
57,14,0,19,17,0
56,23,0,16,13,0
55,12,0,8,16,0
54,13,0,10,15,0
53,19,0,18,16,0
51,27,0,21,21,0
50,26,0,19,18,0
50,20,0,11,19,0
49,18,0,20,21,0
49,13,0,12,20,0
49,20,0,16,19,0
48,14,0,13,19,0
47,14,0,11,18,0
45,21,0,22,24,0
42,20,0,20,24,0
39,23,0,20,23,0
40,23,0,12,20,0
42,13,0,6,15,0
43,14,0,17,13,0
45,13,0,29,20,0
46,13,0,10,11,0
47,15,1,10,13,0
49,10,0,6,12,0
50,10,0,2,11,0
51,11,0,6,14,0
51,13,0,7,14,0
51,14,0,9,17,0
51,13,0,7,18,0
50,15,0,12,16,0
49,11,0,8,14,0
49,10,0,10,16,0
48,11,0,9,18,0
46,13,0,15,20,0
45,15,0,10,28,0
44,16,0,10,23,0
43,14,0,11,22,0
42,14,0,11,17,0
41,20,0,28,14,0
41,13,0,18,17,0
41,14,0,16,14,0
41,19,0,17,16,0
41,17,0,11,16,0
41,14,0,11,15,0
40,15,0,13,17,0
40,16,0,12,13,0
40,17,0,17,20,0
40,22,0,39,20,0
42,15,0,14,19,0
44,27,0,51,22,0
47,17,0,20,16,0
50,17,0,22,13,0
51,14,0,20,11,0
51,8,0,20,16,0
51,7,0,27,13,0
51,22,5,40,14,0
51,16,1,25,6,0
51,24,0,20,11,0
51,23,0,25,23,0
51,19,0,23,33,0
51,7,0,19,20,0
51,10,0,21,19,0
51,15,5,28,30,0
51,17,0,21,27,0
51,13,0,21,25,0
51,11,0,18,25,0
50,16,0,19,24,0
50,16,0,18,21,0
49,12,0,18,22,0
49,12,0,18,22,0
49,19,0,20,21,0
47,26,0,20,26,0
44,14,0,20,34,0
41,21,0,24,36,0
39,11,0,21,30,0
39,10,0,16,29,0
40,10,0,17,31,0
39,14,0,18,31,0
39,11,0,21,35,0
39,20,0,21,31,0
40,14,0,22,27,0
41,14,0,20,25,0
41,11,0,20,28,0
41,12,0,19,34,0
41,20,6,36,37,0
42,12,1,20,29,0
43,19,0,20,28,0
43,6,0,19,26,0
43,8,0,21,28,0
43,18,0,23,26,0
42,11,0,22,31,0
41,17,0,24,38,0
40,13,0,22,44,0
39,22,0,27,0,0
39,22,0,27,0,0
39,22,0,27,0,0
39,22,0,27,0,0
39,22,0,27,0,0
37,22,0,27,0,0
38,21,0,28,74,0
37,9,0,19,55,0
36,10,1,19,63,0
36,8,0,19,59,0
36,13,2,22,51,0
35,11,0,18,61,0
34,8,0,16,61,0
33,7,0,19,74,0
33,8,1,19,68,0
33,8,0,16,78,0
32,14,1,16,71,0
32,26,0,16,81,0
30,17,0,16,16,0
29,22,4,20,13,0
28,18,2,16,5,0
30,15,2,18,1,0
31,12,1,24,0,0
31,9,0,16,2,0
31,9,0,15,20,0
31,6,0,17,10,0
30,5,0,17,20,0
41,13,0,18,17,0
41,14,0,16,14,0
41,19,0,17,16,0
41,17,0,11,16,0
41,14,0,11,15,0
40,15,0,13,17,0
40,16,0,12,13,0
40,17,0,17,20,0
40,22,0,39,20,0
42,15,0,14,19,0
44,27,0,51,22,0
37,9,0,19,55,0
36,10,1,19,63,0
33,8,1,19,68,0
33,8,0,16,78,0
51,17,0,21,27,0
51,13,0,21,25,0
51,11,0,18,25,0
50,16,0,19,24,0
50,16,0,18,21,0
49,12,0,18,22,0
49,12,0,18,22,0
49,19,0,20,21,0
47,26,0,20,26,0
44,14,0,20,34,0
41,21,0,24,36,0
41,14,0,20,25,0
41,11,0,20,28,0
41,12,0,19,34,0
47,14,0,11,18,0
45,21,0,22,24,0
42,20,0,20,24,0
39,23,0,20,23,0
40,23,0,12,20,0
42,13,0,6,15,0
43,14,0,17,13,0
45,13,0,29,20,0
46,13,0,10,11,0
47,15,1,10,13,0
49,10,0,6,12,0
50,10,0,2,11,0
51,11,0,6,14,0
51,13,0,7,14,0
51,14,0,9,17,0
35,12,2,97,18,0
34,10,3,70,0,0
33,11,4,87,0,0
31,10,4,118,5,0
31,10,3,73,30,0
31,7,2,43,16,0
31,6,2,48,9,0
31,11,2,29,8,0
32,16,2,44,0,0
32,17,2,55,25,0
33,13,2,45,0,0
45,19,21,15,8,3
44,18,20,14,8,3
43,17,20,14,7,3
40,17,20,13,7,3
38,16,19,12,7,3
35,14,19,12,7,3
34,14,19,12,7,3
33,13,19,11,7,3
31,13,19,11,7,3
31,13,19,11,7,3
31,12,19,11,7,3
31,12,19,11,8,3
31,12,19,11,8,3
32,13,19,11,8,3
32,13,19,11,7,3
33,13,19,11,7,3
33,13,19,11,8,3
34,13,19,11,8,3
34,13,19,11,8,3
34,13,19,11,8,3
33,13,19,11,9,3
33,13,19,12,9,3
33,13,19,12,10,3
32,13,19,12,11,3
31,13,19,12,13,3
31,12,19,12,14,3
30,12,18,12,15,3
29,12,18,12,16,3
28,11,18,12,17,3
27,11,18,12,18,3
26,10,17,11,18,3
25,10,16,11,18,3
24,9,15,10,19,3
22,9,15,10,19,3
23,9,15,10,19,3
23,9,15,10,19,2
22,9,15,10,19,3
21,8,15,10,19,3
21,8,15,10,19,3
20,8,15,10,19,3
19,8,15,10,20,3
19,8,15,10,20,3
20,8,14,10,20,3
21,8,14,10,20,3
22,9,15,11,21,3
24,9,15,12,21,3
26,10,15,12,21,3
29,11,16,13,20,4
31,12,16,13,19,4
33,13,16,13,18,4
34,13,16,14,17,4
36,14,17,14,16,4
39,15,17,15,15,4
42,16,18,15,15,4
44,17,18,16,14,4
46,18,20,17,14,4
48,19,20,17,14,4
50,20,20,17,14,4
50,20,20,17,13,4
51,20,21,17,14,4
52,22,21,17,14,4
53,23,21,18,14,4
53,24,21,18,14,4
53,24,21,18,15,4
53,24,21,18,15,5
53,24,21,18,15,5
53,24,20,19,16,5
53,24,21,20,16,5
53,24,21,20,17,5
53,24,21,19,17,5
53,24,20,19,17,5
53,24,21,20,18,5
53,24,22,21,18,5
54,25,22,22,19,5
55,26,22,21,20,5
55,26,22,22,20,5
55,26,22,22,21,6
55,26,22,22,21,6
55,26,22,22,22,6
56,27,22,23,22,6
56,27,22,22,22,6
56,27,22,22,22,6
55,26,22,22,22,6
55,26,22,22,22,5
54,25,22,22,22,5
53,24,22,21,22,5
53,23,22,21,22,5
53,23,22,21,21,5
53,23,22,21,21,5
53,23,21,21,21,5
53,23,21,21,21,5
53,23,21,19,21,5
52,22,20,18,20,5
51,22,20,18,20,5
51,21,19,17,20,5
48,20,17,15,20,6
44,18,16,14,19,6
40,16,16,13,19,6
36,15,16,13,19,6
33,13,15,12,19,6
31,12,15,11,18,6
28,11,14,10,18,6
25,10,13,10,19,6
22,9,13,9,19,6
21,8,13,10,20,6
21,8,13,10,21,6
22,9,13,11,21,6
24,9,13,11,21,6
26,10,13,12,21,7
27,11,13,12,20,7
28,11,14,12,20,7
28,11,14,13,20,7
28,11,15,13,20,7
29,12,15,13,20,6
31,12,16,13,19,6
32,13,16,14,20,6
33,13,17,16,20,7
34,14,18,19,21,7
37,15,20,21,22,7
41,17,22,23,22,7
45,18,23,23,22,7
46,19,23,24,22,7
47,19,23,24,22,7
48,20,23,24,22,7
49,20,23,24,21,7
49,20,23,24,21,7
50,20,23,24,20,7
50,21,23,23,19,7
50,21,23,23,18,7
50,21,24,23,17,7
51,22,24,23,17,7
52,22,24,23,17,7
52,23,24,23,17,7
52,23,23,23,18,7
52,23,23,23,18,7
53,24,23,23,18,7
54,24,23,23,18,7
54,25,23,23,18,7
55,26,23,23,18,7
56,27,23,22,18,7
57,28,22,20,17,6
57,28,21,17,17,6
56,27,20,15,16,6
55,26,18,12,15,5
54,24,17,12,14,5
53,24,17,12,14,5
53,23,17,12,14,5
52,23,17,12,14,5
52,23,17,12,14,4
52,23,17,12,14,4
52,23,17,12,14,4
52,23,18,12,14,4
52,23,20,14,14,4
52,23,21,16,14,4
51,22,21,16,15,4
51,21,21,16,15,4
49,20,21,16,15,4
47,19,21,16,16,4
45,18,21,15,16,5
43,17,21,16,17,5
41,17,21,16,17,5
40,16,21,15,17,5
38,15,21,16,17,5
36,14,21,16,16,5
33,13,22,17,16,5
33,13,22,18,16,5
34,13,24,20,17,5
36,14,26,22,17,4
39,16,26,23,18,5
42,17,27,23,18,5
43,17,27,23,19,5
45,18,27,23,19,5
47,19,27,23,20,5
48,19,27,23,20,5
50,20,28,24,20,5
51,21,27,23,20,5
51,21,26,22,20,5
51,21,25,20,20,5
51,21,25,20,20,5
51,21,25,20,20,4
51,21,24,20,20,4
52,22,24,20,19,4
52,22,24,20,19,4
53,23,24,19,19,4
53,23,24,19,20,4
53,23,23,18,21,4
53,23,23,17,22,4
54,24,24,17,22,4
56,25,23,16,21,4
56,26,23,15,21,4
56,26,21,13,20,4
56,26,20,11,20,4
56,26,19,10,20,4
56,26,19,10,20,4
56,26,19,10,20,4
56,26,19,10,20,4
56,26,19,10,21,4
56,26,19,9,21,4
56,26,18,9,22,4
55,25,17,8,22,4
55,25,17,8,24,4
56,26,16,7,24,4
58,27,16,7,24,4
59,29,16,7,24,4
60,30,16,7,24,4
61,31,16,7,24,4
62,32,17,8,25,4
63,33,17,8,25,5
64,34,17,8,24,5
65,35,17,9,23,5
65,36,17,9,23,5
65,36,16,10,25,5
66,36,16,10,26,5
65,36,15,10,28,5
65,36,15,10,30,5
64,35,15,10,32,5
64,34,14,10,33,5
64,34,14,10,35,5
63,34,14,11,37,5
63,34,13,11,39,6
64,34,13,11,40,6
64,35,13,11,42,6
65,35,13,12,43,6
65,36,13,12,44,6
66,36,13,12,43,6
66,36,13,12,43,6
65,36,13,13,44,6
64,35,13,13,45,6
64,35,13,13,46,6
64,35,13,13,47,6
64,35,13,13,48,6
64,34,13,13,48,6
63,33,13,13,49,6
62,32,13,13,50,6
62,32,12,14,52,7
61,31,12,14,51,7
61,31,12,14,50,8
62,32,12,15,49,8
63,33,12,15,49,8
63,33,12,15,48,8
62,33,12,14,46,8
62,32,12,14,44,8
61,32,12,14,42,8
61,31,12,13,39,8
60,30,13,13,37,8
59,29,13,13,35,8
58,29,12,13,33,8
57,28,12,13,32,8
56,27,12,12,32,8
55,25,12,12,31,8
54,24,11,12,30,8
53,23,11,12,29,8
51,21,11,11,28,8
50,20,11,11,27,8
50,20,11,11,26,8
49,20,11,11,25,8
49,20,11,10,24,8
49,20,11,10,22,7
48,19,11,9,20,7
47,19,12,9,20,6
45,18,12,8,21,6
42,17,12,7,22,5
39,15,12,8,21,5
40,16,12,8,21,5
42,16,13,9,21,5
43,17,13,9,21,5
45,18,13,9,22,5
46,18,12,9,22,5
47,19,12,9,22,5
49,19,12,9,21,5
50,20,13,9,21,5
51,21,13,9,21,5
51,21,13,9,20,5
51,21,13,9,20,5
51,21,13,9,20,5
50,20,13,9,20,5
49,20,13,9,20,5
49,20,13,9,20,5
48,19,13,9,19,5
46,19,13,9,19,5
45,18,13,9,19,5
44,18,13,9,19,5
43,17,14,9,18,4
42,17,14,9,18,4
41,17,14,9,18,4
41,17,14,9,18,4
41,17,14,9,18,4
41,17,14,9,18,4
41,17,14,9,18,4
41,17,14,9,18,4
40,16,14,9,18,4
40,16,15,9,17,3
40,16,15,10,17,3
40,16,16,11,17,3
42,17,17,12,17,3
44,18,18,13,17,3
47,19,19,14,18,3
50,20,19,14,18,3
51,21,19,14,18,3
51,21,19,14,18,3
51,21,19,14,18,3
51,22,19,14,18,3
51,21,19,14,18,3
51,21,18,14,18,3
51,21,18,14,18,3
51,21,18,14,18,3
51,21,19,14,18,3
51,21,19,13,18,3
51,21,19,13,18,3
51,21,18,13,18,3
51,21,19,13,19,3
51,21,19,12,19,3
50,20,19,13,20,2
50,20,19,13,21,2
49,20,19,13,22,2
49,20,19,13,22,2
49,20,19,12,23,2
47,19,18,11,24,2
44,17,18,11,25,2
41,16,17,10,25,2
39,16,17,10,25,2
39,16,17,10,25,2
40,16,17,10,25,2
39,16,18,10,26,2
39,16,18,10,26,2
39,16,18,11,27,2
40,16,18,11,27,2
41,16,18,11,27,2
41,16,18,11,27,2
41,16,18,11,27,2
41,16,17,11,27,2
42,17,17,11,28,3
43,17,17,11,28,3
43,17,17,12,29,3
43,17,17,12,30,3
43,17,17,12,31,3
42,17,17,11,31,3
41,16,17,11,31,3
40,16,17,11,31,3
39,16,17,11,31,3
39,16,17,11,31,3
39,16,17,11,31,3
39,16,17,11,31,3
39,16,17,11,31,3
37,15,17,11,31,3
38,15,17,11,31,3
37,15,17,10,31,3
36,15,17,10,31,3
36,15,17,10,30,2
36,14,17,10,30,2
35,14,17,10,30,2
34,14,17,10,30,2
33,14,17,10,30,2
33,14,17,10,30,2
33,14,17,10,30,2
32,13,17,9,30,2
32,13,17,9,29,2
30,12,17,8,28,2
29,12,16,8,28,2
28,11,16,9,27,2
30,12,16,9,27,2
31,12,16,9,28,2
31,12,16,9,28,2
31,12,16,9,28,2
31,12,16,8,28,3
30,12,16,8,27,3
29,12,15,7,27,3
28,11,14,7,27,3
27,11,14,6,27,3
25,10,14,7,27,2
25,10,14,7,27,2
25,10,14,7,27,3
25,10,14,7,28,3
26,10,14,7,29,3
26,10,14,7,29,3
26,10,14,7,30,3
27,11,14,7,30,3
27,11,13,7,31,3
27,11,13,7,31,3
27,11,13,7,31,3
28,11,13,8,31,3
28,11,13,8,31,3
28,11,14,8,30,3
28,11,14,8,29,3
27,11,14,8,28,3
28,11,14,9,26,3
30,12,15,9,25,3
31,12,15,9,23,3
32,13,15,10,22,3
33,13,15,10,22,3
34,14,15,10,21,3
36,14,16,11,21,3
37,15,16,11,20,3
37,15,16,11,20,3
37,15,16,11,20,3
37,15,16,10,20,3
37,15,16,10,19,3
37,15,15,10,19,3
37,15,15,10,19,3
36,14,15,10,19,3
36,14,15,10,18,3
35,14,15,10,18,3
35,14,15,10,18,4
35,14,15,10,17,4
35,14,15,9,16,4
35,14,15,10,16,4
36,15,15,10,16,4
41,17,15,10,16,4
43,17,15,9,16,4
42,17,14,8,16,4
42,17,14,8,16,4
41,16,14,8,16,4
42,17,14,8,16,4
42,17,14,7,15,4
42,16,14,7,15,4
41,16,13,6,15,4
40,16,13,6,15,4
42,17,13,6,15,4
44,18,14,6,15,4
46,18,14,6,15,4
48,19,14,6,15,4
50,20,14,6,15,4
51,21,14,6,15,4
51,21,14,6,15,4
52,22,14,6,15,4
52,23,14,6,15,4
53,23,14,6,16,4
53,23,14,6,16,4
54,24,13,6,17,4
54,25,13,6,17,4
54,24,13,6,17,4
52,23,12,7,18,5
52,23,12,8,19,5
53,24,12,8,20,5
54,24,12,9,21,5
54,25,12,9,21,5
54,25,13,9,22,5
54,25,13,10,22,5
55,25,13,10,23,5
55,26,13,10,23,5
57,27,14,11,24,5
56,27,13,11,24,6
55,26,14,11,24,6
54,25,14,11,24,5
54,25,14,11,23,5
53,24,14,11,23,5
53,23,14,11,23,5
52,22,14,11,22,5
51,22,14,11,22,5
51,21,14,11,22,5
50,21,14,11,21,5
50,20,15,11,21,4
48,20,15,11,21,4
47,19,15,11,20,4
46,18,16,10,20,4
44,18,16,9,19,3
43,17,16,8,18,3
40,16,16,8,17,3
38,15,16,7,17,3
36,14,16,7,17,3
36,14,16,7,17,3
36,14,16,7,17,3
35,14,16,7,17,3
34,13,15,7,17,3
31,12,15,6,17,2
31,12,15,6,17,2
31,12,15,6,17,2
31,12,15,6,17,2
32,12,15,6,17,2
32,12,14,6,17,2
32,12,14,6,17,2
32,12,14,6,17,2
32,12,14,6,17,3
31,12,14,6,17,3
31,12,14,6,17,3
31,12,14,6,17,3
31,12,14,6,18,3
31,12,14,6,19,3
31,12,14,6,20,3
31,12,13,7,22,3
30,12,13,7,23,3
31,12,13,7,25,3
31,12,13,8,26,3
32,12,13,8,27,3
32,12,13,8,27,3
32,12,14,8,28,3
32,12,14,8,29,3
33,13,14,9,30,3
34,13,14,9,30,3
34,13,14,9,31,3
35,14,14,9,32,3
34,13,14,9,33,3
34,13,14,9,35,3
34,13,14,9,36,3
34,13,14,9,37,3
34,13,14,9,37,3
34,13,14,9,38,3
34,13,14,9,38,3
34,13,14,9,39,3
34,13,14,9,40,3
34,13,14,8,39,3
34,13,15,8,38,3
34,13,15,9,37,3
35,13,15,9,37,3
34,13,15,9,37,3
36,14,15,9,38,3
37,14,15,9,38,3
37,14,15,9,40,3
37,14,15,9,41,3
37,14,15,9,43,3
37,14,15,9,44,3
36,14,15,9,46,3
36,14,15,9,47,2
34,13,15,9,48,3
34,13,15,9,50,2
34,13,15,8,51,2
34,13,15,8,52,2
34,13,16,8,53,2
34,13,16,9,54,2
34,13,16,9,56,2
34,13,16,9,58,2
34,13,16,9,59,2
34,13,16,9,60,2
34,13,15,9,61,2
33,13,15,9,62,2
33,13,15,9,63,2
33,13,15,9,64,2
34,13,14,8,65,2
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
